District_Colline,Latitude,Longitude,"(Latitude,Longitude)"
Makebuko_Murenda,-3.5998676,29.9523196,"-3.5998676,29.9523196"
Nyarusange_Muzima Coops,-3.5836673,29.8214654,"-3.5836673,29.8214654"
Bweru_Nyamugari,-3.2188108,30.3729763,"-3.2188108,30.3729763"
Makebuko_Kagoma,-3.5350307,30.0488056,"-3.5350307,30.0488056"
Matongo_Mikuba,-2.9519311,29.5856145,"-2.9519311,29.5856145"
Matongo_Nkonge,-2.9865198,29.5993599,"-2.9865198,29.5993599"
Matongo_Mikuba,-2.9865267,29.5994367,"-2.9865267,29.5994367"
Makebuko_Rukobe 1,-3.5628687,30.035512,"-3.5628687,30.035512"
Gitaramuka_Bikinga,-2.9908284,30.1246962,"-2.9908284,30.1246962"
Gitaramuka_Bugwana,-2.9925415,30.1241046,"-2.9925415,30.1241046"
Gitaramuka_Kibumbwe,-3.0194557,30.0883224,"-3.0194557,30.0883224"
Gitaramuka_Kigozi,-2.959785,30.1285683,"-2.959785,30.1285683"
Makebuko_Ruhanza coop,-3.5885503,30.0221956,"-3.5885503,30.0221956"
Matongo_Nyamiyogoro,-2.9729633,29.6040767,"-2.9729633,29.6040767"
Gasorwe_Kinyami,-2.8043778,30.144582,"-2.8043778,30.144582"
Mwumba_Nyange,-2.8520097,29.7079739,"-2.8520097,29.7079739"
Rango_Nyarusange,-3.1083146,29.7736486,"-3.1083146,29.7736486"
Mwumba_Mihama,-2.8553321,29.6802892,"-2.8553321,29.6802892"
Nyabihanga_Miterama,-3.4706061,29.8099141,"-3.4706061,29.8099141"
Gitaramuka_Cirambo,-2.9339276,30.1910439,"-2.9339276,30.1910439"
Giteranyi_Rukungere,-2.4720057,30.4501776,"-2.4720057,30.4501776"
Giteranyi_Kabira,-2.4725974,30.4507333,"-2.4725974,30.4507333"
Nyabihanga_Murama,-3.4739083,29.7884233,"-3.4739083,29.7884233"
Rango_Bishuri I,-3.1976582,29.7816996,"-3.1976582,29.7816996"
Rango_Bishuri II,-3.2349321,29.9091783,"-3.2349321,29.9091783"
Kabarore_Manga,-2.8066856,29.6474193,"-2.8066856,29.6474193"
Kabarore_Songore,-2.8327606,29.6501928,"-2.8327606,29.6501928"
Kabarore_Ryamukona,-2.82052,29.5826325,"-2.82052,29.5826325"
Bukirasazi_Gasongati,-3.6689052,29.9845926,"-3.6689052,29.9845926"
Nyarusange_Kabimba Coops,-3.5791247,29.8093722,"-3.5791247,29.8093722"
Bukirasazi_Tema,-3.669408,29.9844038,"-3.669408,29.9844038"
Bukirasazi_Kibuye,-3.6693678,29.984702,"-3.6693678,29.984702"
Bugendana_Kibasi,-3.2577939,29.8302518,"-3.2577939,29.8302518"
Mwumba_Buziragahama,-2.8074317,29.7881417,"-2.8074317,29.7881417"
Matongo_Campazi,-2.9779715,29.5872655,"-2.9779715,29.5872655"
Kabarore_Ruhinga,-2.8654165,29.6485987,"-2.8654165,29.6485987"
Mwumba_Rukurazo,-2.8028352,29.7963419,"-2.8028352,29.7963419"
Mwumba_Rwarangabo,-2.8120643,29.7950913,"-2.8120643,29.7950913"
Mwumba_Burenza,-2.8156209,29.8299891,"-2.8156209,29.8299891"
Mwumba_Rwabiriro,-2.8153594,29.8300939,"-2.8153594,29.8300939"
Mwumba_Gatsinda,-2.819581,29.807869,"-2.819581,29.807869"
Bugendana_Bitare,-3.2342066,29.9119046,"-3.2342066,29.9119046"
Kabarore_Migege,-2.894183,29.6436833,"-2.894183,29.6436833"
Kabarore_Kibingo,-2.9029617,29.5940179,"-2.9029617,29.5940179"
Kiremba_Kagarama,-2.8316166,30.0724655,"-2.8316166,30.0724655"
Gahombo_Gisyo,-3.0433704,29.66735,"-3.0433704,29.66735"
Gahombo_Kigume,-3.0626808,29.6743911,"-3.0626808,29.6743911"
Buhinyuza_Gitaramuka,-2.9104999,30.4071397,"-2.9104999,30.4071397"
Buhinyuza_Bugungu coop,-2.9568269,30.405496,"-2.9568269,30.405496"
Buhinyuza_Gasave coop,-2.9443425,30.4214579,"-2.9443425,30.4214579"
Gasorwe_Buvumbi,-2.7007031,30.2489473,"-2.7007031,30.2489473"
Gasorwe_Musama,-2.7091647,30.2209982,"-2.7091647,30.2209982"
Kabarore_Ruhinga,-2.853778,29.6328516,"-2.853778,29.6328516"
Gasorwe_Bonero,-2.7523678,30.2135595,"-2.7523678,30.2135595"
Bugendana_Muyange MUT II,-3.2151791,29.8315956,"-3.2151791,29.8315956"
Bugendana_Nkongwe,-3.2151713,29.8316283,"-3.2151713,29.8316283"
Gihogazi_Ruganira,-3.1563265,29.908211,"-3.1563265,29.908211"
Gahombo_Kivoga,-2.928391,29.7337141,"-2.928391,29.7337141"
Gahombo_,-2.9424657,29.7248042,"-2.9424657,29.7248042"
Rango_Masama II,-3.0674498,29.8176452,"-3.0674498,29.8176452"
Rango_Rubanga,-3.0678848,29.8084176,"-3.0678848,29.8084176"
Gitaramuka_Rubuga,-2.9760206,30.1666923,"-2.9760206,30.1666923"
Kabarore_Gitwa,-2.9983761,29.6329753,"-2.9983761,29.6329753"
Kabarore_Nemba,-2.9688041,29.6270189,"-2.9688041,29.6270189"
Kabarore_Gitwa,-2.9984416,29.6330531,"-2.9984416,29.6330531"
Kabarore_Nemba,-2.9688008,29.6269984,"-2.9688008,29.6269984"
Kabarore_Mihigo,-2.9444033,29.62371,"-2.9444033,29.62371"
Kabarore_Kinga,-2.9128646,29.6147022,"-2.9128646,29.6147022"
Kabarore_Nyabihanga,-2.9454667,29.6521603,"-2.9454667,29.6521603"
Kabarore_Cukiro,-2.9573374,29.6470133,"-2.9573374,29.6470133"
Gitaramuka_Gitaramuka II,-2.9780844,30.1674038,"-2.9780844,30.1674038"
Butaganzwa_Mugege,-3.6218983,30.110288,"-3.6218983,30.110288"
